CLOSEST_CITY,COUNTY,CHP,LAPD,LASD,RCSD,SBSD,SDPD,SDSD,SFPD
29 PALMS,SAN BERNARDINO,0,0,0,0,309,0,0,0
ACAMPO,SAN JOAQUIN,0,0,1,0,0,0,0,0
ACTON,LOS ANGELES,0,4,169,0,0,0,0,0
ADELAIDE,SAN LUIS OBISPO,0,0,0,0,1,0,0,0
ADELANTO,SAN BERNARDINO,68,0,1,0,2606,0,0,0
AGOURA,LOS ANGELES,0,0,5,0,0,0,0,0
AGOURA HILLS,LOS ANGELES,473,1,1107,0,0,0,0,0
AGUA DULCE,LOS ANGELES,0,0,29,0,0,0,0,0
ALAMEDA,ALAMEDA,11,0,0,0,0,0,0,1
ALBANY,ALAMEDA,210,0,0,0,0,0,0,0
ALHAMBRA,LOS ANGELES,2067,21,1,0,0,0,0,0
ALISO VIEJO,ORANGE,616,0,0,0,0,0,0,0
ALPINE,SAN DIEGO,0,0,0,0,0,0,1269,0
ALTA LOMA,SAN BERNARDINO,0,0,0,0,3,0,0,0
ALTADENA,LOS ANGELES,0,1,1393,0,0,0,0,0
ALTURAS,MODOC,141,0,0,0,0,0,0,0
AMADOR CITY,AMADOR,2,0,0,0,0,0,0,0
AMERICAN CANYON,NAPA,26,0,0,0,0,0,0,0
ANAHEIM,ORANGE,13034,0,13,0,4,1,0,0
ANDERSON,SHASTA,237,0,0,0,0,0,0,0
ANGELS CAMP,CALAVERAS,79,0,0,0,0,0,0,0
ANGELUS OAKS,SAN BERNARDINO,0,0,0,0,19,0,0,0
ANTIOCH,CONTRA COSTA,809,0,0,0,0,0,0,2
ANZA,RIVERSIDE,0,0,0,5,0,0,0,0
APPLE VALLEY,SAN BERNARDINO,252,0,0,1,4565,0,0,0
APPLEGATE,PLACER,0,0,0,0,6,0,0,0
ARCADIA,LOS ANGELES,895,5,47,0,0,0,0,0
ARCATA,HUMBOLDT,114,0,0,0,0,0,0,0
ARROWBEAR LAKE,SAN BERNARDINO,0,0,0,0,3,0,0,0
ARROYO GRANDE,SAN LUIS OBISPO,532,0,0,0,0,0,0,0
ARTESIA,LOS ANGELES,259,3,2496,0,0,0,0,0
ARVIN,KERN,30,0,0,0,0,0,0,0
ATASCADERO,SAN LUIS OBISPO,317,0,0,0,0,0,0,0
ATHERTON,SAN MATEO,33,0,0,0,0,0,0,0
ATWATER,MERCED,348,0,0,0,0,0,0,0
AUBURN,PLACER,157,0,0,0,0,0,0,0
AVALON,LOS ANGELES,6,2,133,0,0,0,0,0
AVENAL,KINGS,24,0,0,0,0,0,0,0
AZUSA,LOS ANGELES,826,1,533,0,0,0,0,0
BADGER,TULARE,0,0,0,0,2,0,0,0
BAKER,SAN BERNARDINO,0,0,0,0,126,0,0,0
BAKERSFIELD,KERN,8244,0,4,0,2,0,0,0
BALDWIN PARK,LOS ANGELES,2140,1,18,0,0,0,0,0
BANNING,RIVERSIDE,8523,0,0,65,3,0,0,0
BARD,IMPERIAL,0,0,0,0,4,0,0,0
BARSTOW,SAN BERNARDINO,1221,0,0,5,1917,0,0,0
BASSETT,LOS ANGELES,0,0,76,0,0,0,0,0
BASSETTS,SIERRA,0,0,2,0,0,0,0,0
BEAR VALLEY,CALAVERAS,0,0,0,0,1,0,0,0
BEAUMONT,RIVERSIDE,1375,0,0,58,8,0,0,0
BELL,LOS ANGELES,478,3,12,0,3,0,0,0
BELL GARDENS,LOS ANGELES,37,0,4,0,2,0,0,0
BELLFLOWER,LOS ANGELES,685,1,3231,0,1,0,0,0
BELMONT,SAN MATEO,369,0,0,0,0,0,0,0
BELVEDERE,MARIN,4,0,0,0,0,0,0,0
BENICIA,SOLANO,326,0,0,0,0,0,0,0
BERKELEY,ALAMEDA,1707,0,0,0,0,0,0,1
BERMUDA DUNES,RIVERSIDE,0,0,0,83,0,0,0,0
BEVERLY HILLS,LOS ANGELES,41,273,4,0,0,0,0,0
BIG BAR,TRINITY,0,0,0,0,5,0,0,0
BIG BEAR CITY,SAN BERNARDINO,0,0,0,0,795,0,0,0
BIG BEAR LAKE,SAN BERNARDINO,133,0,0,0,1950,0,0,0
BIG BEND,SHASTA,0,0,0,0,3,0,0,0
BIG OAK FLAT,TUOLUMNE,0,0,0,0,1,0,0,0
BIG RIVER,SAN BERNARDINO,0,0,0,0,94,0,0,0
BIGGS,BUTTE,17,0,0,0,0,0,0,0
BISHOP,INYO,218,0,0,0,0,0,0,0
BLOOMINGTON,SAN BERNARDINO,0,0,0,0,592,0,0,0
BLUE JAY,SAN BERNARDINO,0,0,0,0,35,0,0,0
BLUE LAKE,HUMBOLDT,7,0,0,0,0,0,0,0
BLYTHE,RIVERSIDE,1823,0,0,451,0,0,0,0
BONITA,SAN DIEGO,0,0,0,0,0,5,207,0
BONSALL,SAN DIEGO,0,0,0,9,0,2,40,0
BORON,KERN,0,0,0,0,3,0,0,0
BORREGO SPRINGS,SAN DIEGO,0,0,0,0,0,0,52,0
BOULEVARD,SAN DIEGO,0,0,0,0,0,0,114,0
BRADBURY,LOS ANGELES,2,0,10,0,0,0,0,0
BRAWLEY,IMPERIAL,88,0,0,0,0,0,0,0
BREA,ORANGE,636,0,2,6,0,0,0,0
BRENTWOOD,CONTRA COSTA,202,0,0,0,0,0,0,0
BRISBANE,SAN MATEO,396,0,0,0,0,0,0,6
BUELLTON,SANTA BARBARA,134,0,0,0,0,0,0,0
BUENA PARK,ORANGE,1632,0,0,2,0,0,0,0
BURBANK,LOS ANGELES,1120,94,32,0,3,0,0,0
BURLINGAME,SAN MATEO,400,0,0,0,0,0,0,4
CABAZON,RIVERSIDE,0,0,0,462,19,0,0,0
CALABASAS,LOS ANGELES,990,2,1001,0,0,0,0,0
CALABASAS HILLS,LOS ANGELES,0,0,1,0,0,0,0,0
CALEXICO,IMPERIAL,349,0,0,0,0,0,0,0
CALIFORNIA CITY,KERN,373,0,0,0,15,0,0,0
CALIMESA,RIVERSIDE,695,0,0,200,11,0,0,0
CALIPATRIA,IMPERIAL,1,0,0,0,0,0,0,0
CALISTOGA,NAPA,21,0,0,0,0,0,0,0
CAMARILLO,VENTURA,1006,0,0,0,0,0,0,0
